sample_ID,Week,Date,Site,abs_664,abs_665,Acetone_chla,PhytoPAM_chla,fit_error,Year,error,error2
A18,14,8/20/2019,Lake Three Fires,0.043,0.026,30.26,42.03333333,0,2019,0.389072483,38.90724829
B2,5,6/19/2020,Lake Darling,0.043,0.026,133.5,160.9,0,2020,0.205243446,20.52434457
B4,7,6/30/2020,Green Valley,0.02,0.011,81.92,62.93333333,0,2020,-0.231770833,23.17708333
B5,7,6/30/2020,Green Valley 2x Dilution,0.01,0.005,81.734,56.4,0,2020,-0.309956689,30.99566888
B8,7,7/1/2020,Lake Three Fires,0.038,0.023,107.276,91.2,0,2020,-0.149856445,14.98564451
B10,7,7/1/2020,Prairie Rose,0.04,0.024,130.775,133.1666667,0,2020,0.018288409,1.828840884
B19,8,7/7/2020,Green Valley,0.053,0.03,200.25,162.6,0,2020,-0.188014981,18.80149813
B22,8,7/8/2020,Lake Darling,0.015,0.008,66.75,96.2,0,2020,0.441198502,44.11985019
B24,8,7/7/2020,North Twin East,0.017,0.01,63,73.6,0,2020,0.168253968,16.82539683
B31,5,6/16/2020,Green Valley,0.027,0.016,88.11,83.05,0,2020,-0.057428215,5.742821473
B34,9,7/14/2020,Viking Lake,0.013,0.006,30.8077,26.56666667,0,2020,-0.137661472,13.76614721
B38,9,7/15/2020,Lake Darling,0.026,0.015,102.453,96.2,0,2020,-0.061032864,6.103286385
B56,10,7/21/2020,Green Valley,0.026,0.014,139.304,97,0,2020,-0.303681158,30.36811578
B57,10,7/21/2020,Lake Keomah,0.012,0.007,54.122,71.06666667,0,2020,0.313082788,31.30827883
B59,10,7/21/2020,Lake Three Fires,0.015,0.007,86.594,80.5,0,2020,-0.070374391,7.037439084
B61,10,7/20/2020,Lake Keosaqua,0.005,0.004,8.344,8.9,0,2020,0.066634708,6.663470757
B62,10,7/20/2020,Honey Creek Resort,0.025,0.016,81.92045455,89.86666667,0,2020,0.096999121,9.699912147
B64,10,7/20/2020,Red Haw,0.018,0.012,49.04081633,49.2,0,2020,0.003245943,0.324594257
B68,10,7/21/2020,Prairie Rose,0.024,0.014,80.1,83.8,0,2020,0.04619226,4.619225968
B72,11,7/27/2020,Honey Creek Resort,0.027,0.016,86.38235294,124,0,2020,0.435478379,43.54783793
B74,11,7/27/2020,Union Grove,0.02,0.014,49.04081633,66,0,2020,0.345817728,34.58177278
B80,11,7/29/2020,Clear Lake,0.007,0.004,24.03,34.93333333,0,2020,0.453738383,45.37383826
B81,11,7/29/2020,Prairie Rose,0.031,0.018,236.6590909,243.7,0,2020,0.029751272,2.975127245
B85,11,7/28/2020,Lake Manawa,0.02,0.012,62.82352941,75.43333333,0,2020,0.200717853,20.07178527
B86,11,7/28/2020,Green Valley,0.045,0.028,194.5285714,147.1,0,2020,-0.243812881,24.3812881
B90,12,8/3/2020,Union Grove,0.03,0.018,104.4782609,158.4333333,0,2020,0.516423915,51.64239146
B92,12,8/3/2020,Big Creek,0.016,0.009,62.3,143.7,0,2020,1.306581059,130.6581059
B95,12,8/3/2020,Honey Creek Resort,0.009,0.004,40.05,44.4,0,2020,0.108614232,10.86142322
B96,12,8/4/2020,Marble Beach,0.032,0.018,127.4318182,194.8666667,0,2020,0.529183758,52.91837584
B99,12,8/4/2020,Prairie Rose,0.057,0.034,184.23,264.5333333,0,2020,0.435886302,43.58863015
B100,12,8/5/2020,Clear Lake,0.004,0,32.04,28.6,0,2020,-0.107365793,10.73657928
C4,4,6/11/2019,Blackhawk,0.015,0.008,9.345,5.6,> 1,2019,-0.400749064,40.07490637
C6,6,6/25/2019,Brushy Creek,0.008,0.005,4.005,5.7,> 1,2019,0.423220974,42.32209738
C7,7,7/1/2019,Denison,0.035,0.021,18.69,29.9,0-1,2019,0.599785982,59.97859818
C8,8,7/10/2019,Viking Lake,0.045,0.028,22.695,35,0-1,2019,0.54218991,54.21899097
C10,9,7/11/2019,Lake Three Fires,0.11,0.066,117.48,182.5,0-1,2019,0.553455907,55.34559074
C14,12,8/7/2019,Lake Anita,0.053,0.032,56.07,53.3,0-1,2019,-0.049402533,4.940253255
C15,12,8/14/2019,North Twin East,0.031,0.021,53.4,62.8,> 1,2019,0.176029963,17.60299625
A1,6,6/23/2020,Green Valley,0.028,0.015,104.13,81.7,0,2020,-0.215403822,21.54038221
A4,5,6/16/2020,Lake Darling,0.043,0.029,112.14,160.9,0,2020,0.434813626,43.48136258
A5,6,6/23/2020,Prairie Rose,0.017,0.009,62.82352941,61.8,0-1,2020,-0.016292135,1.629213483
A7,6,6/23/2020,Lake Macbride,0.012,0.008,34.08510638,37.3,0,2020,0.0943196,9.43196005
A8,13,8/13/2019,North Twin West,0.03,0.016,56.07,58.6,0-1,2019,0.045122169,4.512216872
A11,13,8/13/2019,Green Valley,0.047,0.03,38.46610169,49.7,0-1,2019,0.292046706,29.20467063
A13,11,7/29/2019,Big Creek,0.031,0.019,37.546875,52.8,0-1,2019,0.406242197,40.62421973
A19,13,8/13/2019,North Twin East,0.028,0.019,48.06,62.9,> 1,2019,0.308780691,30.87806908
A20,14,8/20/2019,North Twin West,0.034,0.022,48.06,57,> 1,2019,0.186017478,18.60174782
A22,6,6/24/2020,Lake Three Fires,0.039,0.023,125.6470588,141.1,0,2020,0.122986891,12.29868914
A23,4,6/10/2020,Lake Keomah,0.012,0.006,48.06,41.1,0,2020,-0.144818976,14.48189763
A25,4,6/10/2020,Lake Three Fires,0.01,0.007,24.03,19.7,0,2020,-0.180191427,18.01914274
A26,15,8/27/2019,Green Valley,0.019,0.013,96.12,71.8,0,2019,-0.253017062,25.3017062
A30,14,8/20/2019,Blackhawk,0.053,0.037,64.08,92.1,0,2019,0.437265918,43.72659176
A32,4,6/10/2020,Lake Three Fires,0.025,0.014,88.11,102.6,0,2020,0.164453524,16.4453524
B3,7,6/30/2020,Lake Manawa,0.016,0.01,50.0625,90.7,> 1,2020,0.811735331,81.17353308
B6,6,6/23/2020,Viking Lake,0.005,0.003,18.20454545,19.3,0-1,2020,0.060174782,6.017478152
B9,7,7/1/2020,Lake Manawa,0.014,0.008,44.5,90.7,> 1,2020,1.038202247,103.8202247
B12,7,6/30/2020,Viking Lake,0.016,0.01,51.12765957,25.2,0-1,2020,-0.507116105,50.71161049
B13,7,6/30/2020,North Twin East,0.019,0.011,63.44554455,94.5,> 1,2020,0.489466292,48.94662921
B14,7,6/30/2020,North Twin West,0.023,0.015,64.72727273,81.1,> 1,2020,0.252949438,25.29494382
B18,8,7/8/2020,Viking Lake,0.003,0.001,17.04255319,16.3,0-1,2020,-0.043570537,4.357053683
B20,8,7/8/2020,Lake Three Fires,0.009,0.005,39.55555556,45.3,0-1,2020,0.145224719,14.52247191
B21,8,7/7/2020,Lake Macbride,0.004,0.002,19.53658537,21.6,> 1,2020,0.105617978,10.56179775
B23,8,7/8/2020,Lake Keomah,0.011,0.006,42.60638298,39.4,> 1,2020,-0.07525593,7.525593009
B35,9,7/14/2020,Green Valley,0.031,0.016,154.0384615,109.8,> 1,2020,-0.287191011,28.71910112
B37,9,7/15/2020,North Twin East,0.015,0.007,70.41758242,98.5,> 1,2020,0.398798377,39.8798377
B39,9,7/14/2020,Lake Three Fires,0.01,0.007,24.03,45.3,0-1,2020,0.885143571,88.51435705
B40,9,7/15/2020,Lake Macbride,0.007,0.002,47.67857143,52.6,0-1,2020,0.103220974,10.32209738
B41,9,7/14/2020,North Twin West,0.013,0.007,56.54117647,72.4,> 1,2020,0.28048273,28.04827299
B43,9,7/14/2020,Red Haw,0.009,0.004,40.05,44.6,0-1,2020,0.11360799,11.360799
B54,10,7/21/2020,North Twin East,0.016,0.008,68.17021277,92.3,0-1,2020,0.353963795,35.39637953
B55,9,7/15/2020,Prairie Rose,0.015,0.007,32.04,23,> 1,2020,-0.282147316,28.21473159
B60,10,7/21/2020,North Twin West,0.018,0.01,66.75,106.7,0-1,2020,0.598501873,59.85018727
B65,10,7/21/2020,Lake Manawa,0.018,0.01,64.08,88.6,> 1,2020,0.382646692,38.26466916
B66,10,7/20/2020,Lake Macbride,0.012,0.008,31.41176471,49.6,> 1,2020,0.579026217,57.90262172
B67,10,7/21/2020,Viking Lake,0.02,0.011,80.1,66.4,0-1,2020,-0.171036205,17.10362047
B69,10,7/21/2020,Lake Darling,0.019,0.012,73.77631579,102.3,0-1,2020,0.386623863,38.6623863
B70,11,7/28/2020,Lake Macbride,0.015,0.013,15.70588235,49.4,> 1,2020,2.145318352,214.5318352
B72,11,7/27/2020,Honey Creek Resort,0.027,0.016,86.38235294,124,0,2020,0.435478379,43.54783793
B73,11,7/28/2020,North Twin West,0.009,0.007,25.83870968,58.967,> 1,2020,1.282118602,128.2118602
B76,11,7/29/2020,Lake Keomah,0.02,0.012,64.08,71.83,0-1,2020,0.120942572,12.09425718
B78,11,7/29/2020,Lake Darling,0.017,0.01,74.76,74.57,0-1,2020,-0.002541466,0.254146602
B79,11,7/28/2020,Marble Beach,0.005,0.003,7.701923077,7.8,> 1,2020,0.012734082,1.27340824
B82,9,7/14/2020,Lake Manawa,0.015,0.009,60.075,111.7,> 1,2020,0.859342489,85.93424886
B83,11,7/28/2020,North Twin East,0.015,0.01,40.867,68.9,> 1,2020,0.685956885,68.59568845
B84,11,7/29/2020,Viking Lake,0.024,0.015,94.855,95.3,0-1,2020,0.004691371,0.469137104
B87,12,8/4/2020,Lake Darling,0.018,0.012,55.241,76,0-1,2020,0.375789721,37.57897214
B88,12,8/3/2020,North Twin West,0.012,0.006,51.677,86.6,> 1,2020,0.675793873,67.57938735
B90 remeasure,12,8/3/2020,Union Grove,0.034,0.02,105.6391304,158.4,0,2020,0.499444376,49.94443758
B91,12,8/4/2020,North Twin East,0.009,0.004,46.569,93.7,> 1,2020,1.012068114,101.2068114
B92 remeasure,12,8/3/2020,Big Creek,0.017,0.01,43.61,143.7,0,2020,2.295115799,229.5115799
B94,12,8/3/2020,Lake Keomah,0.021,0.012,72.09,78.2,0-1,2020,0.084755167,8.475516715
B96 remeasure,12,8/4/2020,Marble Beach,0.034,0.02,110.4409091,194.9,0,2020,0.764744619,76.47446187
B98,12,8/4/2020,Lake Macbride,0.011,0.006,46.03,83.6,0-1,2020,0.816206822,81.62068216
B99,12,8/4/2020,Prairie Rose,0.057,0.034,184.23,264.5333333,0,2020,0.435886302,43.58863015
B100,12,8/5/2020,Clear Lake,0.004,0,32.04,28.6,0,2020,-0.107365793,10.73657928
B101 remeasure,12,8/5/2020,Lake Manawa,0.027,0.016,81.23617021,146.9,0-1,2020,0.808307797,80.83077971
B104,12,8/5/2020,Green Valley,0.039,0.023,130.7755102,117.2333333,0-1,2020,-0.103552851,10.35528506
B105,13,8/11/2020,North Twin East,0.014,0.008,51.67741935,79.4,> 1,2020,0.536454432,53.6454432
B107,13,8/13/2020,Viking Lake,0.034,0.021,106.255102,142.7,0,2020,0.342994334,34.2994334
B108,13,8/11/2020,Big Creek,0.018,0.003,125.15625,81.4,> 1,2020,-0.349612984,34.96129838
B110,13,8/11/2020,Lake Manawa,0.024,0.015,84.81176471,146.9,0-1,2020,0.732071022,73.20710223
B113,13,8/11/2020,North Twin West,0.011,0.006,60.68181818,81.6,0-1,2020,0.344719101,34.47191011
B114,13,8/13/2020,Lake Three Fires,0.032,0.02,98.08163265,140.4,0,2020,0.431460674,43.14606742
B116,13,8/13/2020,Prairie Rose,0.052,0.032,163.4693878,197,0,2020,0.205118602,20.51186017
B117,13,8/10/2020,Union Grove,0.057,0.034,283.4307692,352.2,0,2020,0.242631493,24.26314932
B119,13,8/11/2020,Green Valley,0.024,0.015,150.1875,135.4,0,2020,-0.098460258,9.846025801
B118 remeasure,13,8/12/2020,Lake Darling,0.051,0.03,147.2545455,178.2,0,2020,0.210149401,21.01494012
B122,14,8/18/2020,North Twin East,0.016,0.009,56.07,98.83333333,0-1,2020,0.762677605,76.26776054
B123,14,8/18/2020,North Twin West,0.016,0.008,65.3877551,86.3,0-1,2020,0.319818976,31.98189763
B124,14,8/18/2020,Honey Creek Resort,0.011,0.006,39.26470588,45.5,0,2020,0.158801498,15.88014981
B125,14,8/19/2020,Lake Manawa,0.018,0.01,91.54285714,140.9,0,2020,0.539169788,53.91697878
B127,14,8/17/2020,Lake Keomah,0.014,0.009,41.71875,64.83333333,0-1,2020,0.554057428,55.40574282
B128,14,8/17/2020,Viking Lake,0.02,0.013,56.07,119.8,0,2020,1.136614946,113.6614946
B129 remeasure,14,8/17/2020,Viking Lake,0.024,0.014,81.73469388,119.8,0,2020,0.465717853,46.57178527
B130,14,8/17/2020,Lake Three Fires,0.03,0.019,88.11,121.5666667,0,2020,0.379714751,37.97147505
B131,14,8/19/2020,Green Valley,0.048,0.031,138.9489796,118.6666667,0,2020,-0.145969499,14.59694989
B132,14,8/19/2020,Union Grove,0.053,0.029,600.75,767,0,2020,0.276737412,27.67374116
B133 remeasure,14,8/19/2020,Union Grove 2x dilution,0.043,0.026,378.25,422.97,0,2020,0.118228685,11.82286847
B135,15,8/26/2020,Brushy Creek,0.007,0.003,27.22352941,33.7,0,2020,0.237899741,23.78997407
B136,15,8/26/2020,Crandall's Beach,0.014,0.008,87.38181818,86.8,0,2020,-0.006658344,0.665834374
B137,15,8/26/2020,North Twin West,0.012,0.002,102.6923077,90.2,0-1,2020,-0.12164794,12.16479401
B138,15,8/26/2020,Honey Creek Resort,0.011,0.006,51.04411765,58.8,0,2020,0.151944685,15.19446845
B139,15,8/26/2020,North Twin East,0.011,0.006,50.30434783,79.4,> 1,2020,0.578392394,57.83923941
B140,15,8/26/2020,Lake Darling,0.025,0.014,103.1918919,134.5,0,2020,0.303396978,30.33969776
B141,15,8/26/2020,Lake Three Fires,0.012,0.007,53.4,67.6,0,2020,0.265917603,26.5917603
B142,15,8/26/2020,Lake Manawa,0.017,0.01,77.875,140.9,> 1,2020,0.809309791,80.93097913
B143,15,8/26/2020,Green Valley,0.025,0.014,106.0583333,118.7,0,2020,0.119195411,11.91954113
B144,15,8/26/2020,Prairie Rose,0.028,0.015,125.3416667,162.1,0,2020,0.293265075,29.32650755
B145,15,8/26/2020,Lake Keomah,0.014,0.009,55.625,72.7,> 1,2020,0.306966292,30.69662921
